Index,KnowledgeGraphId,Name,PositiveSegmentCount,TotalSegmentCount
3,/m/01jddz,Concert,181,240
7,/m/0k4j,Car,159,246
8,/m/026bk,Dance,200,245
11,/m/02wbm,Food,121,247
12,/m/02vx4,Association football,152,249
17,/m/0410tth,Motorsport,126,229
18,/m/068hy,Pet,108,238
19,/m/0dfbw,Racing,138,243
21,/m/050k8,Mobile phone,169,245
22,/m/01mtb,Cooking,90,250
23,/m/0169zh,Smartphone,187,240
28,/m/02hnl,Drum kit,186,239
31,/m/05r5c,Piano,198,249
30,/m/04_sv,Motorcycle,178,247
32,/m/02q08p0,Dish (food),77,248
33,/m/026t6,Drum,198,245
34,/m/042v_gx,Acoustic guitar,176,241
41,/m/0l14jd,Choir,191,250
43,/m/094jc,Fishing,105,248
45,/m/07jdr,Train,200,244
46,/m/05czz6l,Airplane,175,241
48,/m/012mq4,Sports car,194,240
53,/m/01sgl,Cycling,119,249
54,/m/05pd6,Orchestra,136,244
52,/m/018w8,Basketball,184,249
55,/m/025sn53,Motorcycling,162,240
58,/m/0199g,Bicycle,156,244
59,/m/0ch_cf,Fish,146,242
60,/m/05b0n7k,Outdoor recreation,172,244
61,/m/02dsz,Disc jockey,105,247
65,/m/0ds4x,Hairstyle,129,250
68,/m/06zfw,Skateboarding,157,242
73,/m/027lnzs,IPhone,86,234
71,/m/081hv,Wedding,80,237
74,/m/0643t,Personal computer,88,241
75,/m/07r04,Truck,153,237
76,/m/019jd,Boat,147,241
77,/m/01g50p,Railroad car,185,244
80,/m/02csf,Drawing,166,250
83,/m/013xlm,Tractor,155,246
90,/m/02mk9,Engine,137,238
88,/m/03jm5,House,177,235
89,/m/0hr5k,Festival,114,229
92,/m/01cgz,Boxing,125,247
95,/m/02988_,Four-wheel drive,176,215
100,/m/0c4f_,Weight training,112,250
101,/m/03qc82_,Recreational fishing,190,250
99,/m/01vq3,Christmas,72,224
104,/m/0kw6d,Driving,170,244
105,/m/07_tb,Video game console,110,248
109,/m/01hh79,Landing,36,223
113,/m/0l8fl,Model aircraft,159,241
112,/m/0f4s2w,Vegetable,148,241
115,/m/0hnbsn3,Samsung Galaxy,118,233
